cap_pct_C8,V_C8,cap_pct_C5,V_C5,cap_pct_C3,V_C3,cap_pct_C2,V_C2,cap_pct_C1,V_C1,cap_pct_C2x,V_C2x
0.270921,13.332211,0.269323,13.302009,0.26737,13.265096,0.262931,13.181203,0.257604,13.080531,0.147018,12.778541
0.600444,13.30192,0.692387,13.251559,0.689723,13.201223,1.250435,13.070197,0.675874,12.939476,0.798252,12.570308
0.97727,13.271617,1.163286,13.211163,1.255229,13.160802,2.856252,13.022785,1.522534,12.848643,1.596544,12.459353
1.449235,13.251356,2.108814,13.200842,1.726128,13.120406,4.511147,13.008918,2.79723,12.80132,3.24771,12.375016
2.158248,13.241098,4.520735,13.190127,3.712323,13.109806,6.970371,12.99819,4.735411,12.777309,5.468289,12.324083
3.293165,13.234082,7.642379,13.182578,7.117607,13.098824,10.611461,12.973722,7.241405,12.756502,8.967647,12.303009
5.138338,13.240298,10.905577,13.168278,10.901316,13.087741,14.915325,12.959144,10.410175,12.745584,13.46019,12.278313
7.786952,13.232875,14.594858,13.160576,15.346912,13.069769,20.969046,12.937384,14.571775,12.724332,17.622501,12.270484
11.476054,13.221818,19.703051,13.149138,19.130443,13.05533,26.597395,12.92245,19.254241,12.713008,22.352448,12.262502
15.259763,13.210735,23.770045,13.127911,23.906982,13.033913,33.502038,12.890394,23.747495,12.701734,28.075935,12.25761
18.901918,13.206401,26.606983,13.103659,29.392534,13.002238,38.421019,12.879007,27.86197,12.683851,34.839734,12.245727
22.448579,13.185314,30.910137,13.075658,36.061195,12.980313,44.09596,12.850637,32.449652,12.669196,41.792567,12.230437
27.508404,13.153754,36.065101,13.054139,42.114383,12.948486,51.757274,12.815022,37.556958,12.640979,46.900405,12.212287
31.386186,13.132578,40.746857,13.029392,47.695074,12.926853,59.749353,12.772607,44.083531,12.615736,53.378966,12.173634
34.317908,13.111656,45.665305,13.007937,54.316431,12.904941,65.281675,12.730853,48.907374,12.594306,59.99979,12.141655
37.296932,13.090722,48.928858,13.000349,58.903758,12.883575,72.373932,12.668545,54.582316,12.565937,66.619904,12.096253
40.417866,13.06975,54.037052,12.988911,64.106025,12.862044,77.194223,12.580001,58.412795,12.544774,72.435512,12.044355
43.728545,13.058793,58.245955,12.967646,70.015706,12.800053,81.115935,12.495054,64.891,12.499409,78.532275,11.942045
48.411011,13.047469,63.637256,12.942708,75.357218,12.728148,85.50677,12.336154,68.389825,12.468268,82.736384,11.830176
52.336451,13.032992,67.373129,12.921571,79.658242,12.659878,86.829479,12.302241,72.266009,12.416891,86.464977,11.671453
56.35632,13.015134,71.012798,12.870257,84.050853,12.534535,89.376917,12.170682,76.709297,12.355294,89.009574,11.486202
60.802271,13.003873,75.456441,12.815372,87.544884,12.412789,91.022225,11.975605,79.40184,12.2841,91.598101,11.23718
66.429732,12.97216,80.418641,12.726789,89.243354,12.328439,92.999186,11.790507,82.141154,12.202826,93.80412,10.911078
71.771955,12.913678,84.009409,12.645287,91.177628,12.230602,94.872485,11.434292,84.736605,12.084677,94.926431,10.665805
76.215242,12.852081,86.134139,12.570889,92.77581,12.038894,96.085851,11.121879,87.472723,11.943,95.953603,10.410491
80.185322,12.787256,87.929345,12.526782,94.558942,11.766598,97.199284,10.70882,89.638363,11.747784,97.161109,9.987339
83.398731,12.725989,89.063552,12.506343,96.242675,11.403722,97.660773,10.490571,91.565891,11.52243,,
85.571652,12.668358,91.04584,12.421917,97.358771,11.040999,98.30952,10.235358,93.302075,11.256857,,
86.988079,12.617641,93.307329,12.250165,98.050738,10.708592,98.627325,9.98359,94.518992,11.011559,,
88.926437,12.596986,94.715589,12.045085,98.742172,10.366117,,,95.637751,10.699172,,
91.193608,12.532618,95.88396,11.776309,99.479489,9.996784,,,97.634494,9.993924,,
92.608437,12.451699,96.817946,11.547866,,,,,,,,
93.73785,12.340655,97.791423,11.171758,,,,,,,,
94.581847,12.199486,98.483567,10.842706,,,,,,,,
95.705223,11.974348,99.174469,10.490165,,,,,,,,
96.733993,11.749235,99.857736,9.993327,,,,,,,,
97.94363,11.366352,,,,,,,,,,
98.633999,11.003743,,,,,,,,,,
99.047297,10.768728,,,,,,,,,,
99.999645,9.993289,,,,,,,,,,
