SOC,OCV_V,Reff_Ohm,Reff_mOhm,R0_Ohm,R1_Ohm,C1_F,R2_Ohm,C2_F
0.05,12.2268589472575,0.0102320221558779,10.2320221558779,0.005,0.00183120775455726,10921.7536624268,0.00340081440132062,176428.328393048
0.06,12.391183864235,0.00968035728657101,9.68035728657101,0.005,0.00163812505029985,12209.0801287356,0.00304223223627116,197223.602079576
0.07,12.5037991209692,0.00910329017735833,9.10329017735834,0.005,0.00143615156207542,13926.1067760129,0.00266713861528292,224960.186381747
0.08,12.5766778248347,0.00850242558887177,8.50242558887177,0.005,0.00122584895610512,16315.2237479125,0.00227657663276665,263553.614389356
0.09,12.6240560345223,0.0078571531368318,7.8571531368318,0.005,0.00100000359789113,19999.9280424363,0.00185714953894067,323075.76068551
0.1,12.655510447196,0.00712026535721613,7.12026535721613,0.005,0.000742092875025645,26950.8045058496,0.00137817248219048,435359.149709877
0.11,12.6736711487957,0.00642804527556062,6.42804527556062,0.005,0.000499815846446218,40014.7377123067,0.000928229429114405,646391.916891109
0.12,12.6800712035737,0.00576723223287601,5.76723223287601,0.005,0.000268531281506602,74479.2185394173,0.000498700951369404,1203125.83794443
0.13,12.6910129231721,0.00532491209013283,5.32491209013283,0.005,0.000113719231546489,175871.747707193,0.000211192858586337,2841005.15527004
0.14,12.7170111910524,0.00516301680976793,5.16301680976793,0.005,5.70558834187752e-05,350533.526108171,0.000105960926349154,5662464.65251661
0.15,12.7467572240621,0.00506567873875091,5.06567873875091,0.00496567873875091,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.16,12.7727547830805,0.0049029077729885,4.9029077729885,0.0048029077729885,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.17,12.7941668780922,0.00469870119092509,4.69870119092509,0.00459870119092509,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.18,12.8144751213576,0.00453057598608134,4.53057598608134,0.00443057598608134,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
